,UNITID,Year,INSTNM,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,ACTCMMID,SAT_AVG,UGDS,NUM4_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,INEXPFTE,AVGFACSAL,C150_4,RET_FT4,PCTFLOAN,CDR2,COMP_ORIG_YR2_RT,COMP_4YR_TRANS_YR2_RT,WDRAW_ORIG_YR2_RT,COMPL_RPY_3YR_RT,OVERALL_YR4_N,DEBT_MDN,MN_EARN_WNE_P10,ICLEVEL,UGDS_MEN,UGDS_WOMEN,GRADS,BOOKSUPPLY,ROOMBOARD_ON,GT_THRESHOLD_P8,cluster
392,131450.0,2011,Gallaudet University,3.0,4.0,2.0,0.5499,18.0,855.0,1064.0,128.0,11226.0,11226.0,34530.0,9786.0,0.348,0.7299,0.383,0.04,,,0.119402985,0.7209302326,224.0,7249.5,,1.0,0.4596,0.5404,413.0,1000.0,9860.0,,5
393,131469.0,2011,George Washington University,3.0,4.0,2.0,0.3675,29.0,1287.0,10055.0,1100.0,42905.0,42905.0,16666.0,11571.0,0.8056,0.9396,0.3563,0.009,0.146593255,,0.051617343,0.9276190476,1551.0,15625.0,,1.0,0.4454,0.5546,14777.0,1200.0,10120.0,,5
394,131496.0,2011,Georgetown University,3.0,4.0,2.0,0.1978,30.0,1397.0,7208.0,594.0,40203.0,40203.0,23463.0,11306.0,0.9396,0.9639,0.321,0.008,0.205578512,,0.045454546,0.9330199765,947.0,14510.0,,1.0,0.4441,0.5559,9358.0,1184.0,12758.0,,5
395,131520.0,2011,Howard University,3.0,4.0,2.0,0.5403,23.0,1090.0,6921.0,1324.0,18120.0,18120.0,18772.0,7622.0,0.9114,0.8302,0.7646,0.051,0.092,0.005714286,0.117142857,0.6312364425,1639.0,15250.0,,1.0,0.3274,0.6726,3447.0,1825.0,8162.0,,5
397,131876.0,2011,Trinity Washington University,3.0,4.0,2.0,0.8204,,,1561.0,237.0,20575.0,20575.0,5129.0,6126.0,0.3472,0.6831,0.8107,0.081,0.091106291,,0.182212581,0.6851851852,321.0,9500.0,,1.0,0.0423,0.9577,719.0,1000.0,9060.0,,5
399,132471.0,2011,Barry University,3.0,4.0,2.0,0.5693,20.0,930.0,4838.0,387.0,27200.0,27200.0,9182.0,6310.0,0.3544,0.6349,0.684,0.037,0.215452261,0.021356784,0.184673367,0.7060869565,1367.0,13250.0,,1.0,0.3208,0.6792,4055.0,1000.0,9000.0,,5
400,132602.0,2011,Bethune-Cookman University,3.0,4.0,2.0,0.6874,17.0,825.0,3299.0,754.0,13452.0,13452.0,6113.0,5049.0,0.3667,0.676,0.8461,0.143,0.03164557,0.022151899,0.143987342,0.4775510204,1092.0,12250.0,,1.0,0.4016,0.5984,32.0,1000.0,7980.0,,5
401,132657.0,2011,Lynn University,3.0,4.0,2.0,,,,1619.0,132.0,30900.0,30900.0,9181.0,5033.0,0.426,0.6138,0.2973,0.038,0.130909091,,0.174545455,0.7662337662,359.0,9000.0,,1.0,0.525,0.475,449.0,1250.0,10900.0,,5
410,133553.0,2011,Embry-Riddle Aeronautical University-Daytona Beach,3.0,4.0,2.0,0.7992,24.0,1096.0,4484.0,561.0,29728.0,29728.0,14241.0,7465.0,0.5434,0.7196,0.5542,0.044,0.095421481,0.009413778,0.159606333,0.7864864865,2045.0,7033.0,,1.0,0.8466,0.1534,593.0,1400.0,8790.0,,5
415,133872.0,2011,AdventHealth University,3.0,4.0,2.0,0.9838,20.0,933.0,2634.0,57.0,9580.0,9580.0,5791.0,6249.0,0.3836,0.625,0.501,0.023,0.184480234,0.016105417,0.250366032,0.8181818182,556.0,9500.0,,1.0,0.194,0.806,41.0,2280.0,5434.0,,5
416,133881.0,2011,Florida Institute of Technology,3.0,4.0,2.0,0.5865,26.0,1164.0,5329.0,318.0,32294.0,32294.0,6834.0,7963.0,0.5662,0.7532,0.5948,0.05,0.015679443,0.019163763,0.369773519,0.9233038348,593.0,4750.0,,1.0,0.5052,0.4948,3403.0,1200.0,11210.0,,5
419,133979.0,2011,Florida Memorial University,3.0,4.0,2.0,0.4099,,,1852.0,424.0,14024.0,14024.0,4686.0,6366.0,0.3949,0.6938,0.8532,0.104,0.015804598,0.027298851,0.275862069,0.49,566.0,11000.0,,1.0,0.3855,0.6145,39.0,1700.0,6112.0,,5
421,134079.0,2011,Florida Southern College,3.0,4.0,2.0,0.672,23.0,1062.0,2264.0,397.0,24662.0,24662.0,6350.0,6404.0,0.5154,0.7396,0.4952,0.066,0.115315315,0.027027027,0.158558559,0.8333333333,488.0,9500.0,,1.0,0.3966,0.6034,165.0,1150.0,8310.0,,5
433,134945.0,2011,Jacksonville University,3.0,4.0,2.0,0.4122,22.0,1016.0,3158.0,451.0,26600.0,26600.0,7712.0,6696.0,0.4048,0.5967,0.5887,0.092,0.140488656,0.033158813,0.19982548,0.7607973422,904.0,9500.0,,1.0,0.4018,0.5982,467.0,800.0,9320.0,,5
443,135726.0,2011,University of Miami,3.0,4.0,2.0,0.3922,30.0,1313.0,9903.0,840.0,37836.0,37836.0,28542.0,9823.0,0.8025,0.8966,0.3737,0.019,0.170580964,0.012360939,0.139060569,0.8635014837,1804.0,16500.0,,1.0,0.4822,0.5178,5289.0,2750.0,11062.0,,5
449,136215.0,2011,Nova Southeastern University,3.0,4.0,2.0,0.5329,23.0,1051.0,6092.0,399.0,22150.0,22150.0,11064.0,8627.0,0.4059,0.6878,0.5628,0.024,0.284657129,0.023186976,0.16872225,0.6577777778,1883.0,9000.0,,1.0,0.2904,0.7096,22567.0,1500.0,9086.0,,5
452,136330.0,2011,Palm Beach Atlantic University,3.0,4.0,2.0,0.8006,23.0,1042.0,2399.0,313.0,23400.0,23400.0,7023.0,6641.0,0.5244,0.6398,0.6545,0.083,0.158967391,0.036684783,0.141304348,0.7833333333,722.0,10579.0,,1.0,0.3693,0.6307,818.0,1300.0,8534.0,,5
462,136950.0,2011,Rollins College,3.0,4.0,2.0,0.5566,27.0,1208.0,2505.0,250.0,37640.0,37640.0,10143.0,8128.0,0.6893,0.819,0.4514,0.013,0.134474328,,0.102689487,0.7317784257,451.0,15419.5,,1.0,0.406,0.594,721.0,770.0,11760.0,,5
463,137032.0,2011,Saint Leo University,3.0,4.0,2.0,0.7755,22.0,1009.0,11951.0,382.0,18150.0,18150.0,3325.0,6408.0,0.4467,0.6914,0.9666,0.041,0.160470289,0.011121703,0.188433429,0.7329472329,3071.0,7500.0,,1.0,0.3882,0.6118,2784.0,1200.0,8848.0,,5
